RUN No.,Avg ROT ( °C),Catalyst,STM.(% of feed),Feed,Mass balance (%),Cat/Oil,Conversion (%),H2,C1,C2,C2=,C3,C3=,iC4,nC4,t2C4=,1C4=,iC4=,c2C4=,"1,3-BD",C4=(Liq.),Total Gas,Gasoline,LCO,HCO,Coke,H2-C2 (dry gas),C3-C4 (LPG),C2=-C4= (Light olefins),C3=+C4=,C4= (Butenes),C2=/C2,C3=/C3,C4=/C4,iC4=/C4=,iC4=/iC4,"Res Time based on exit cond, (second)"
2244-PP-040,599.8,CAT-8,7.874015748,Heavy Naphtha,98.26259878,57.0056486,24.35333048,0.078562785,1.001104822,1.291559033,3.547572533,1.609172938,9.199926856,1.131610885,0.82411665,1.481958044,0.962970434,2.126314813,1.041244745,0.057215942,0,24.35333048,75.07976168,0,0,0.566907844,5.918799173,18.43453131,18.41720337,14.86963083,5.669703978,2.942932127,5.989423748,3.006396805,0.375031011,1.87901587,1.531576122
2244-PP-034,600.4,CAT-8,8.048289738,Heavy Naphtha,102.4061378,31.52863396,14.53263425,0.047596977,0.71297796,0.914609442,2.076490048,0.729263428,5.605618706,0.440889732,0.357870407,0.947897914,0.618700868,1.38731237,0.654750092,0.038656305,0,14.53263425,85.20990954,0,0,0.257456213,3.751674428,10.78095982,11.3294263,9.252936256,3.64731755,2.432525472,8.052718268,4.735343193,0.380365118,3.146619824,1.54721552
2244-PP-037,600,CAT-8,6.756756757,Heavy Naphtha,98.47909752,44.3988202,18.84975505,0.059144849,0.782181724,1.028345491,2.614478806,1.059911711,7.384394091,0.737927944,0.562673843,1.186242666,0.803859119,1.752800957,0.834156088,0.043637758,0,18.84975505,80.75172297,0,0,0.398521984,4.48415087,14.36560418,14.61956949,12.00509068,4.620696588,2.724013785,7.29875123,3.684320248,0.379336951,2.375300964,1.550182679
2244-PP-040,599.8,CAT-8,7.874015748,Heavy Naphtha,98.26259878,57.0056486,24.35333048,0.078562785,1.001104822,1.291559033,3.547572533,1.609172938,9.199926856,1.131610885,0.82411665,1.481958044,0.962970434,2.126314813,1.041244745,0.057215942,0,24.35333048,75.07976168,0,0,0.566907844,5.918799173,18.43453131,18.41720337,14.86963083,5.669703978,2.942932127,5.989423748,3.006396805,0.375031011,1.87901587,1.531576122
2244-PP-033,624.4,CAT-8,7.936507937,Heavy Naphtha,100.996942,30.07455083,22.2718211,0.085388665,1.525001895,1.614080086,3.717144402,0.913966378,8.285365659,0.47724666,0.396466784,1.363291529,0.908488514,1.965545023,0.956445075,0.063390426,0,22.2718211,77.45078191,0,0,0.277396996,6.941615049,15.33020605,17.25967063,13.54252623,5.257160567,2.467445544,9.49696519,6.239883632,0.373879587,4.118509756,1.497211953
2244-PP-036,625.2,CAT-8,7.707129094,Heavy Naphtha,98.52152223,42.90798811,26.39677846,0.096267921,1.589483299,1.722944955,4.257960936,1.219950909,10.04224804,0.701295108,0.578527278,1.58277603,1.100276915,2.303601318,1.127017921,0.07442783,0,26.39677846,73.17005181,0,0,0.433169729,7.66665711,18.73012135,20.48830899,16.23034805,6.188100014,2.647850699,8.623666944,5.014202734,0.372263104,3.284781673,1.467722219
2244-PP-039,624.8,CAT-8,7.436399217,Heavy Naphtha,97.7593325,55.51950299,32.38838184,0.122562494,1.956129318,2.088117466,5.434057847,1.805349764,11.98497193,1.098162183,0.840957145,1.836332861,1.217877552,2.62034994,1.294190241,0.089323102,0,32.38838184,66.97809854,0,0,0.633519617,9.600867124,22.78751472,24.47710347,19.04304562,7.058073696,2.788255417,6.954710455,3.774643329,0.371255679,2.386122907,1.49816286
2244-PP-031,650.6,CAT-8,7.894736842,Heavy Naphtha,96.60447616,27.34077744,31.33855745,0.141022353,2.817368442,2.415060727,5.887673529,0.939570302,11.36352249,0.450760484,0.347857929,1.752434639,1.301713477,2.523989302,1.25493426,0.142649513,0,31.33855745,68.35836881,0,0,0.30307374,11.26112505,20.0774324,24.22691721,18.33924369,6.975721191,2.612034375,12.67030533,9.058244991,0.361824854,5.599402328,1.303602994
2244-PP-032,650,CAT-8,8.080808081,Heavy Naphtha,95.08709941,29.25062878,31.51316079,0.149175745,2.944863547,2.504195855,6.095893365,1.034469832,11.03420901,0.429159278,0.36452943,1.799575045,1.216356784,2.557350549,1.276281616,0.107100732,0,31.51316079,68.12392912,0,0,0.362910088,11.69412851,19.81903228,24.0867671,17.99087374,6.956664727,2.608148362,11.17446559,9.089607679,0.367611585,5.958977662,1.467847655
2244-PP-035,650.3,CAT-8,8.097165992,Heavy Naphtha,95.53944117,43.16339519,34.39439955,0.155661759,2.835518627,2.515162843,6.333476106,1.273055531,12.56906606,0.609432381,0.533109853,1.946283271,1.344085049,2.784280235,1.38164603,0.113621802,0,34.39439955,65.06956094,0,0,0.536039515,11.83981933,22.55458021,26.47245855,20.13898245,7.569916387,2.697983264,10.34329823,6.870891439,0.367808585,4.568645053,1.474064753
2244-PP-038,649.9,CAT-8,7.378640777,Heavy Naphtha,95.10242688,51.06699317,42.11391786,0.190545146,3.599433466,3.064508515,7.871557522,1.852287838,15.23984249,0.910450336,0.74191881,2.226810889,1.504093101,3.172708949,1.578100366,0.16166043,0,42.11391786,57.19997592,0,0,0.686106226,14.72604465,27.38787321,31.75477374,23.88321622,8.643373735,2.752092739,8.619367327,5.42463451,0.367068352,3.484768828,1.449991865
